"Day","Hour","Temperature","KWh_Class"
"12/11/2014",10,33.98,"Above_Normal"
"12/11/2014",11,33.89,"Above_Normal"
"12/11/2014",12,33.656,"Above_Normal"
"12/11/2014",13,33.86,"Above_Normal"
"12/11/2014",14,33.86,"Above_Normal"
"12/11/2014",15,33.98,"Above_Normal"
"12/11/2014",16,33.89,"Above_Normal"
"12/11/2014",17,33.98,"Above_Normal"
"12/11/2014",18,33.08,"Above_Normal"
"12/11/2014",19,33.08,"Above_Normal"
"12/11/2014",20,32,"Optimal"
"12/11/2014",21,32,"Optimal"
"12/11/2014",22,32,"Optimal"
"12/11/2014",23,32,"Optimal"
"12/12/2014",0,32,"Optimal"
"12/12/2014",1,30.92,"Optimal"
"12/12/2014",2,30.92,"Optimal"
"12/12/2014",3,30.92,"Optimal"
"12/12/2014",4,30.92,"Optimal"
"12/12/2014",5,32,"Optimal"
"12/12/2014",6,32,"Optimal"
"12/12/2014",7,32,"Above_Normal"
"12/12/2014",8,33.98,"Above_Normal"
"12/12/2014",9,35.06,"Above_Normal"
"12/12/2014",10,36.32,"Above_Normal"
"12/12/2014",11,35.96,"Above_Normal"
"12/12/2014",12,37.04,"Above_Normal"
"12/12/2014",13,37.67,"Above_Normal"
"12/12/2014",14,37.94,"Above_Normal"
"12/12/2014",15,37.94,"Above_Normal"
"12/12/2014",16,37.04,"Above_Normal"
"12/12/2014",17,35.96,"Above_Normal"
"12/12/2014",18,36.68,"Above_Normal"
"12/12/2014",19,35.33,"Above_Normal"
"12/12/2014",20,33.98,"Optimal"
"12/12/2014",21,33.98,"Optimal"
"12/12/2014",22,33.98,"Optimal"
"12/12/2014",23,33.08,"Optimal"
"12/13/2014",0,33.08,"Optimal"
"12/13/2014",1,33.08,"Optimal"
"12/13/2014",2,33.08,"Optimal"
"12/13/2014",3,32,"Optimal"
"12/13/2014",4,32,"Optimal"
"12/13/2014",5,32,"Optimal"
"12/13/2014",6,32,"Optimal"
"12/13/2014",7,33.08,"Above_Normal"
"12/13/2014",8,33.8,"Above_Normal"
"12/13/2014",9,35.06,"Above_Normal"
"12/13/2014",10,35.96,"Above_Normal"
"12/13/2014",11,37.94,"Above_Normal"
"12/13/2014",12,39.92,"Above_Normal"
"12/13/2014",13,41,"Above_Normal"
"12/13/2014",14,41,"Above_Normal"
"12/13/2014",15,39.92,"Above_Normal"
"12/13/2014",16,39.02,"Above_Normal"
"12/13/2014",17,39.02,"Above_Normal"
"12/13/2014",18,37.94,"Above_Normal"
"12/13/2014",19,37.04,"Above_Normal"
"12/13/2014",20,35.96,"Optimal"
"12/13/2014",21,33.98,"Optimal"
"12/13/2014",22,33.98,"Optimal"
"12/13/2014",23,33.08,"Optimal"
"12/14/2014",0,33.98,"Optimal"
"12/14/2014",1,33.98,"Optimal"
"12/14/2014",2,33.98,"Optimal"
"12/14/2014",3,33.98,"Optimal"
"12/14/2014",4,33.08,"Optimal"
"12/14/2014",5,33.98,"Optimal"
"12/14/2014",6,33.98,"Optimal"
"12/14/2014",7,33.98,"Above_Normal"
"12/14/2014",8,35.42,"Above_Normal"
"12/14/2014",9,37.04,"Above_Normal"
"12/14/2014",10,39.02,"Above_Normal"
"12/14/2014",11,41,"Above_Normal"
"12/14/2014",12,42.98,"Above_Normal"
"12/14/2014",13,44.06,"Above_Normal"
"12/14/2014",14,44.06,"Above_Normal"
"12/14/2014",15,42.98,"Above_Normal"
"12/14/2014",16,41,"Above_Normal"
"12/14/2014",17,39.92,"Above_Normal"
"12/14/2014",18,37.94,"Above_Normal"
"12/14/2014",19,37.04,"Above_Normal"
"12/14/2014",20,35.06,"Optimal"
"12/14/2014",21,35.06,"Optimal"
"12/14/2014",22,33.98,"Optimal"
"12/14/2014",23,33.98,"Optimal"
"12/15/2014",0,33.98,"Optimal"
"12/15/2014",1,33.08,"Optimal"
"12/15/2014",2,33.08,"Optimal"
"12/15/2014",3,33.08,"Optimal"
"12/15/2014",4,33.08,"Optimal"
"12/15/2014",5,33.08,"Optimal"
"12/15/2014",6,32,"Optimal"
"12/15/2014",7,33.98,"Above_Normal"
"12/15/2014",8,35.06,"Above_Normal"
"12/15/2014",9,37.04,"Above_Normal"
"12/15/2014",10,39.02,"Above_Normal"
"12/15/2014",11,41,"Above_Normal"
"12/15/2014",12,39.92,"Above_Normal"
"12/15/2014",13,39.92,"Above_Normal"
"12/15/2014",14,39.02,"Above_Normal"
"12/15/2014",15,37.94,"Above_Normal"
"12/15/2014",16,37.04,"Above_Normal"
"12/15/2014",17,39.02,"Above_Normal"
"12/15/2014",18,37.04,"Above_Normal"
"12/15/2014",19,37.94,"Above_Normal"
"12/15/2014",20,35.96,"Optimal"
"12/15/2014",21,35.96,"Optimal"
"12/15/2014",22,36.32,"Optimal"
"12/15/2014",23,37.94,"Optimal"
"12/16/2014",0,35.96,"Optimal"
"12/16/2014",1,35.06,"Optimal"
"12/16/2014",2,35.06,"Optimal"
"12/16/2014",3,35.06,"Optimal"
"12/16/2014",4,35.96,"Optimal"
"12/16/2014",5,37.04,"Optimal"
"12/16/2014",6,37.94,"Optimal"
"12/16/2014",7,39.02,"Above_Normal"
"12/16/2014",8,39.02,"Above_Normal"
"12/16/2014",9,39.92,"Above_Normal"
"12/16/2014",10,41,"Above_Normal"
"12/16/2014",11,39.92,"Above_Normal"
"12/16/2014",12,39.92,"Above_Normal"
"12/16/2014",13,39.92,"Above_Normal"
"12/16/2014",14,39.92,"Above_Normal"
"12/16/2014",15,39.92,"Above_Normal"
"12/16/2014",16,41,"Above_Normal"
"12/16/2014",17,41.54,"Above_Normal"
"12/16/2014",18,42.08,"Above_Normal"
"12/16/2014",19,42.98,"Above_Normal"
"12/16/2014",20,43.43,"Optimal"
"12/16/2014",21,44.06,"Optimal"
"12/16/2014",22,44.06,"Optimal"
"12/16/2014",23,42.98,"Optimal"
"12/17/2014",0,43.46,"Optimal"
"12/17/2014",1,44.06,"Optimal"
"12/17/2014",2,44.96,"Optimal"
"12/17/2014",3,46.04,"Optimal"
"12/17/2014",4,46.94,"Optimal"
"12/17/2014",5,44.96,"Optimal"
"12/17/2014",6,44.42,"Optimal"
"12/17/2014",7,42.98,"Above_Normal"
"12/17/2014",8,42.98,"Above_Normal"
"12/17/2014",9,42.89,"Above_Normal"
"12/17/2014",10,42.44,"Above_Normal"
"12/17/2014",11,42.86,"Above_Normal"
"12/17/2014",12,44.78,"Above_Normal"
"12/17/2014",13,46.04,"Above_Normal"
"12/17/2014",14,46.67,"Above_Normal"
"12/17/2014",15,47.21,"Above_Normal"
"12/17/2014",16,48.02,"Above_Normal"
"12/17/2014",17,46.94,"Above_Normal"
"12/17/2014",18,45.86,"Above_Normal"
"12/17/2014",19,44.96,"Above_Normal"
"12/17/2014",20,44.06,"Optimal"
"12/17/2014",21,42.98,"Optimal"
"12/17/2014",22,42.08,"Optimal"
"12/17/2014",23,41,"Optimal"
"12/18/2014",0,39.92,"Optimal"
"12/18/2014",1,39.92,"Optimal"
"12/18/2014",2,39.92,"Optimal"
"12/18/2014",3,39.92,"Optimal"
"12/18/2014",4,39.02,"Optimal"
"12/18/2014",5,37.04,"Optimal"
"12/18/2014",6,37.04,"Optimal"
"12/18/2014",7,36.32,"Above_Normal"
"12/18/2014",8,37.04,"Above_Normal"
"12/18/2014",9,39.92,"Above_Normal"
"12/18/2014",10,41,"Above_Normal"
"12/18/2014",11,42.98,"Above_Normal"
"12/18/2014",12,42.98,"Above_Normal"
"12/18/2014",13,42.98,"Above_Normal"
"12/18/2014",14,42.98,"Above_Normal"
"12/18/2014",15,42.08,"Above_Normal"
"12/18/2014",16,41,"Above_Normal"
"12/18/2014",17,41,"Above_Normal"
"12/18/2014",18,39.92,"Above_Normal"
"12/18/2014",19,39.02,"Above_Normal"
"12/18/2014",20,39.02,"Optimal"
"12/18/2014",21,39.02,"Optimal"
"12/18/2014",22,37.94,"Optimal"
"12/18/2014",23,37.04,"Optimal"
"12/19/2014",0,37.04,"Optimal"
"12/19/2014",1,37.04,"Optimal"
"12/19/2014",2,35.96,"Optimal"
"12/19/2014",3,35.06,"Optimal"
"12/19/2014",4,35.06,"Optimal"
"12/19/2014",5,33.98,"Optimal"
"12/19/2014",6,33.98,"Optimal"
"12/19/2014",7,33.98,"Above_Normal"
"12/19/2014",8,35.06,"Above_Normal"
"12/19/2014",9,33.98,"Above_Normal"
"12/19/2014",10,33.98,"Above_Normal"
"12/19/2014",11,35.06,"Above_Normal"
"12/19/2014",12,35.06,"Above_Normal"
"12/19/2014",13,35.06,"Above_Normal"
"12/19/2014",14,35.06,"Above_Normal"
"12/19/2014",15,35.06,"Above_Normal"
"12/19/2014",16,33.08,"Above_Normal"
"12/19/2014",17,32,"Above_Normal"
"12/19/2014",18,30.92,"Above_Normal"
"12/19/2014",19,30.92,"Above_Normal"
"12/19/2014",20,30.02,"Optimal"
"12/19/2014",21,30.02,"Optimal"
"12/19/2014",22,28.94,"Optimal"
"12/19/2014",23,28.94,"Optimal"
"12/20/2014",0,28.04,"Optimal"
"12/20/2014",1,28.04,"Optimal"
"12/20/2014",2,28.04,"Optimal"
"12/20/2014",3,28.04,"Optimal"
"12/20/2014",4,28.04,"Optimal"
"12/20/2014",5,28.04,"Optimal"
"12/20/2014",6,26.96,"Optimal"
"12/20/2014",7,28.04,"Above_Normal"
"12/20/2014",8,30.02,"Above_Normal"
"12/20/2014",9,30.11,"Above_Normal"
"12/20/2014",10,30.92,"Above_Normal"
"12/20/2014",11,33.08,"Above_Normal"
"12/20/2014",12,33.08,"Above_Normal"
"12/20/2014",13,33.98,"Above_Normal"
"12/20/2014",14,33.8,"Above_Normal"
"12/20/2014",15,33.98,"Above_Normal"
"12/20/2014",16,33.08,"Above_Normal"
"12/20/2014",17,33.44,"Above_Normal"
"12/20/2014",18,33.89,"Above_Normal"
"12/20/2014",19,35.06,"Above_Normal"
"12/20/2014",20,35.06,"Optimal"
"12/20/2014",21,35.06,"Optimal"
"12/20/2014",22,35.06,"Optimal"
"12/20/2014",23,35.06,"Optimal"
"12/21/2014",0,35.06,"Optimal"
"12/21/2014",1,35.33,"Optimal"
"12/21/2014",2,35.06,"Optimal"
"12/21/2014",3,35.06,"Optimal"
"12/21/2014",4,32,"Optimal"
"12/21/2014",5,32,"Optimal"
"12/21/2014",6,30.92,"Optimal"
"12/21/2014",7,30.02,"Above_Normal"
"12/21/2014",8,30.02,"Above_Normal"
"12/21/2014",9,30.11,"Above_Normal"
"12/21/2014",10,30.92,"Above_Normal"
"12/21/2014",11,32,"Above_Normal"
"12/21/2014",12,32,"Above_Normal"
"12/21/2014",13,33.08,"Above_Normal"
"12/21/2014",14,33.08,"Above_Normal"
"12/21/2014",15,33.8,"Above_Normal"
"12/21/2014",16,33.98,"Above_Normal"
"12/21/2014",17,33.89,"Above_Normal"
"12/21/2014",18,33.98,"Above_Normal"
"12/21/2014",19,33.98,"Above_Normal"
